Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Bubbles,Cockney Rejects,Unforgiven, 1980,223146,4,0.341,0.845,2,-5.314,1,0.0762,0.00437,0,0.617,0.269,159.736,6
Oi! Oi! Oi!,Cockney Rejects,Greatest Hits Vol. 2, 1980,204213,4,0.227,0.969,2,-4.115,1,0.111,0.0652,0,0.664,0.354,185.747,23
Banned from the Roxy,Crass,The Feeding of the Five Thousand (The Second Sitting), 1978,134213,4,0.677,0.741,11,-8.33,0,0.328,0.00668,0,0.0313,0.659,183.301,34
Big a Little A - Remastered,Crass,Best Before 1984 (Crassical Collection), 2000,369613,4,0.612,0.892,11,-5.758,0,0.334,0.0648,0,0.25,0.514,103.427,36
Bloody Revolutions - Remastered,Crass,Best Before 1984 (Crassical Collection), 2000,376080,4,0.534,0.797,2,-7.182,1,0.188,0.00854,0.000822,0.381,0.428,143.708,23
Nagasaki Nightmare,Crass,Best Before 1984, 1982,503200,4,0.487,0.618,0,-11.422,1,0.103,0.0116,0.864,0.117,0.367,111.584,6
Punk Is Dead,Crass,The Feeding of the Five Thousand (The Second Sitting), 1978,107720,4,0.622,0.962,2,-7.735,1,0.0878,0.0225,0,0.183,0.446,112.493,33
Reality Asylum,Crass,Best Before 1984, 1979,397800,3,0.302,0.479,10,-13.15,1,0.295,0.691,0,0.906,0.229,77.6,8
Securicor,Crass,The Feeding of the Five Thousand (The Second Sitting), 1979,147906,4,0.347,0.965,2,-6.939,1,0.184,0.00101,0.0374,0.284,0.307,214.848,17
Shaved Women,Crass,Best Before 1984, 1979,281933,4,0.472,0.966,9,-10.72,1,0.0554,0.0877,0.000111,0.677,0.0526,99.189,11
So What,Crass,The Feeding of the Five Thousand (The Second Sitting), 1978,185266,4,0.587,0.614,9,-8.186,1,0.0844,0.0206,0,0.101,0.948,169.593,24
Don't Tread on Me,Cro-Mags,The Age of Quarrel, 1986,79733,4,0.271,0.953,4,-12.743,0,0.0788,0.0000925,0.021,0.184,0.038,90.547,24
Face the Facts,Cro-Mags,The Age of Quarrel, 1986,100866,4,0.42,0.857,0,-12.265,1,0.0337,0.000165,0.00195,0.231,0.393,106.204,20
Hard Times,Cro-Mags,Before The Quarrel, 1986,96026,4,0.224,0.996,9,-4.578,1,0.131,0.00326,0.896,0.0305,0.207,214.396,40
Malfunction,Cro-Mags,The Age of Quarrel, 1986,222706,4,0.355,0.729,11,-13.107,0,0.0529,0.000339,0.312,0.108,0.461,161.443,26
Show You No Mercy,Cro-Mags,The Age of Quarrel, 1986,117760,4,0.363,0.838,9,-12.49,1,0.056,0.000125,0.424,0.0738,0.344,101.919,30
Street Justice,Cro-Mags,The Age of Quarrel, 1986,93426,4,0.404,0.924,7,-10.437,1,0.044,0.000401,0.944,0.0952,0.377,83.254,28
Survival Of The Streets,Cro-Mags,Before The Quarrel, 1986,61361,4,0.37,0.966,2,-6.093,1,0.19,0.0000231,0.848,0.31,0.461,91.537,27
The Only One,Cro-Mags,Best Wishes, 1986,295200,4,0.51,0.726,4,-13.567,1,0.0577,0.000773,0.000169,0.124,0.249,137.477,19
We Gotta Know,Cro-Mags,The Age of Quarrel, 1986,203933,4,0.332,0.902,7,-11.748,1,0.0573,0.00021,0.00131,0.0629,0.0878,105.647,35
World Peace,Cro-Mags,Before The Quarrel, 1986,135471,4,0.201,0.979,11,-4.501,0,0.22,0.000312,0.833,0.109,0.296,168.116,33
Inkobe,D.O.A.,Drums of Africa, 2008,384829,4,0.727,0.856,1,-9.021,1,0.045,0.000931,0.785,0.0727,0.159,123.026,0
D.O.A.,D.O.A.,Hardcore '81, 2008,98906,4,0.332,0.948,4,-7.564,0,0.106,0.0000619,0.0169,0.38,0.683,141.871,19
Full Metal Jackoff,D.O.A.,Last Scream of the Missing Neighbors, 2008,837173,4,0.269,0.813,4,-11.857,1,0.0429,0.000118,0.823,0.302,0.537,129.582,28
If I Were a Redneck,D.O.A.,"Kings of Punk, Hockey and Beer", 2008,150586,4,0.443,0.962,9,-5.032,1,0.0496,0.00276,0,0.405,0.621,100.764,2
We're Drivin' to Hell 'n' Back,D.O.A.,War and Peace, 2008,136946,4,0.494,0.994,9,-4.75,1,0.122,0.0171,0.00000902,0.387,0.38,118.761,0
Who the Hell Do You Think You Are,D.O.A.,We Come in Peace, 2008,167853,4,0.469,0.926,0,-5.807,1,0.0695,0.0000546,0,0.381,0.587,105.92,7
Abduction,D.R.I.,Thrash Zone, 1983,243640,4,0.353,0.722,5,-12.756,1,0.0606,0.000427,0.0289,0.308,0.307,177.539,32
Beneath The Wheel,D.R.I.,Thrash Zone, 1983,336200,4,0.479,0.762,6,-10.998,0,0.0523,0.0000861,0.03,0.15,0.457,91.831,40
Commuter Man,D.R.I.,Dirty Rotten LP (on CD), 1983,57453,1,0.233,0.828,5,-8.659,0,0.0979,0.0000011,0.908,0.0558,0.685,121.227,13
