Title,Average Rating,Director,Metascore
Khosla Ka Ghosla!,8.2,"Dibakar Banerjee, Pravin E. Birje",
Padayappa,8.2,K.S. Ravikumar,
Mathu Vadalara,8.2,Ritesh Rana,
Mis,8.2,Stanislaw Bareja,
Vaaranam Aayiram,8.2,Gautham Vasudev Menon,
The Art of Flight,8.2,Curt Morgan,
Garuda Gamana Vrishabha Vahana,8.2,Raj B. Shetty,
Drushyam,8.2,Sripriya,
Kadhalukku Mariyadhai,8.2,Fazil,
The Crash Reel,8.2,Lucy Walker,79.0
Ivan Vasilevich menyaet professiyu,8.2,Leonid Gaidai,
Cuba and the Cameraman,8.2,Jon Alpert,82.0
Jigarthanda,8.2,Karthik Subbaraj,
The Conversion,8.2,Vinod Tewari,
Bommarillu,8.2,Bommarillu Baskar,
Pelli Choopulu,8.2,Tharun Bhascker Dhaassyam,
Ustad Hotel,8.2,Anwar Rasheed,
One More Time with Feeling,8.2,Andrew Dominik,92.0
12 stulev,8.2,Leonid Gaidai,
V Boy Idut Odni 'stariki',8.2,Leonid Bykov,
Ghilli,8.2,Dharani,
LA 92,8.2,"Daniel Lindsay, T.J. Martin",66.0
Pearl Jam Twenty,8.2,Cameron Crowe,59.0
Kshanam,8.2,Ravikanth Perepu,
The Times of Harvey Milk,8.2,Rob Epstein,
Nil Battey Sannata,8.2,Ashwiny Iyer Tiwari,
Athadu,8.2,Trivikram Srinivas,
No End in Sight,8.2,Charles Ferguson,89.0
The Union: The Business Behind Getting High,8.2,Brett Harvey,
Deiva Thirumagal,8.2,A.L. Vijay,
Naduvula Konjam Pakkatha Kaanom,8.2,Balaji Tharaneetharan,
Kirik Party,8.2,Rishab Shetty,
Television,8.2,Mostofa Sarwar Farooki,
Bol,8.2,Shoaib Mansoor,
Foo Fighters: Back and Forth,8.2,James Moll,
How to Train Your Dragon,8.1,"Dean DeBlois, Chris Sanders",75.0
The Wizard of Oz,8.1,"Victor Fleming, King Vidor",92.0
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,Gore Verbinski,63.0
Harry Potter and the Deathly Hallows: Part 2,8.1,David Yates,85.0
Logan,8.1,James Mangold,77.0
Mad Max: Fury Road,8.1,George Miller,90.0
Dead Poets Society,8.1,Peter Weir,79.0
Blade Runner,8.1,Ridley Scott,84.0
The Terminator,8.1,James Cameron,84.0
Gone Girl,8.1,David Fincher,79.0
Catch Me If You Can,8.1,Steven Spielberg,75.0
Inside Out,8.1,"Pete Docter, Ronnie Del Carmen",94.0
Ah-ga-ssi,8.1,Park Chan-wook,85.0
Ratatouille,8.1,"Brad Bird, Jan Pinkava",96.0
The Grand Budapest Hotel,8.1,Wes Anderson,88.0
The Big Lebowski,8.1,"Joel Coen, Ethan Coen",71.0
The Sound of Music,8.1,Robert Wise,63.0
Hacksaw Ridge,8.1,Mel Gibson,71.0
Stand by Me,8.1,Rob Reiner,75.0
Rocky,8.1,John G. Avildsen,70.0
V for Vendetta,8.1,James McTeigue,62.0
The Help,8.1,Tate Taylor,62.0
Jaws,8.1,Steven Spielberg,87.0
Trainspotting,8.1,Danny Boyle,83.0
The Exorcist,8.1,William Friedkin,83.0
Ford v. Ferrari,8.1,James Mangold,81.0
Warrior,8.1,Gavin O'Connor,71.0
The Deer Hunter,8.1,Michael Cimino,90.0
Fargo,8.1,"Joel Coen, Ethan Coen",88.0
"Paris, Texas",8.1,Wim Wenders,81.0
Million Dollar Baby,8.1,Clint Eastwood,86.0
Into the Wild,8.1,Sean Penn,73.0
"Three Billboards Outside Ebbing, Missouri",8.1,Martin McDonagh,88.0
Salinui Chueok,8.1,Bong Joon Ho,82.0
Platoon,8.1,Oliver Stone,92.0
Rush,8.1,Ron Howard,74.0
Spotlight,8.1,Tom McCarthy,93.0
