Title,Writer,Cast
After Life,Hirokazu Koreeda,"Arata Iura, Erika Oda, Susumu Terajima, Takashi Naitô, Kyôko Kagawa, Kei Tani, Taketoshi Naitô, Tôru Yuri, Yûsuke Iseya, Sayaka Yoshino, Kazuko Shirakawa, Kôtarô Shiga, Hisako Hara, Sadao Abe, Natsuo Ishidô, Tomomi Hiraiwa, Tae Kimura, Yasuhiro Kasamatsu"
Ghoomer,"R Balki, Rahul Sengupta, Rishi Virmani","Amitabh Bachchan, Shabana Azmi, Angad Bedi, Shivendra Singh Dungarpur, Akshay Joshi, Piyush Raina, Ivanka Das, Pari Sharma, Bhagya Bhanushali, Nupura, Chandni Naithani, Reshma Sharma, Sovena Shetty, Nilesh Ranade, Janice Rodrigues, Jaai, Priyanka Golipkar, Pooja Dabekar"
Moonage Daydream,Brett Morgen,"David Bowie, Trevor Bolder, Ken Fordham, Mike Garson, John 'Hutch' Hutchinson, Geoff MacCormack, Mick Ronson, Brian Wilshaw, Mick Woodmansey, Jeff Beck, Carlos Alomar, Gui Andrisano, Ava Cherry, Robin Clark, Dennis Davis, Greg Errico, Herbie Flowers, Richard Grando"
Love and Death,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet, Frank Adu, Edmond Ardisson, Féodor Atkine, Albert Augier, Yves Barsacq, Lloyd Battista, Jack Berard, Eva Betrand, George Birt, Yves Brainville, Gérard Buhr, Brian Coburn, Henri Coutet, Patricia Crown, Henri Czarniak"
Der siebente Kontinent,"Michael Haneke, Johanna Teicht","Birgit Doll, Dieter Berner, Leni Tanzer, Udo Samel, Silvia Fenz, Robert Dietl, Elisabeth Rath, Georges Kern, Georg Friedrich, Meat Loaf, Jennifer Rush"
The Devil and Daniel Webster,"Dan Totheroh, Stephen Vincent Benet","Edward Arnold, Walter Huston, Jane Darwell, Simone Simon, Gene Lockhart, John Qualen, H.B. Warner, Frank Conlan, Lindy Wade, George Cleveland, Anne Shirley, James Craig, Frank Austin, Walter Baldwin, Eddie Borden, Hazel Boyne, Sonny Bupp, Bob Burns"
Quincy,"Alan Hicks, Rashida Jones","Quincy Jones, Rashida Jones, Kareem Abdul-Jabbar, Clarence Avant, Chloe Bailey, Halle Bailey, Tony Bennett, Beyoncé, Lina Bielsten, Mary J. Blige, Stefan Blom, Richard Bona, Bono, Lonnie Bunch, Michael Caine, Terri Lyne Carrington, Dave Chappelle, Ed Cherney"
Zelig,Woody Allen,"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter, Marvin Chatinover, Stanley Swerdlow, Paul Nevens, Howard Erskine, George Hamlin, Ralph Bell, Richard Whiting, Will Hussung, Robert Iglesia, Eli Resnick, Edward McPhillips, Gale Hansen, Michael Jeter, Peter McRobbie"
Bande à part,"Dolores Hitchens, Jean-Luc Godard","Anna Karina, Claude Brasseur, Danièle Girard, Louisa Colpeyn, Chantal Darget, Sami Frey, Georges Staquet, Ernest Menzer, Jean-Claude Rémoleux, Michel Delahaye, Louis Jojot, Claude Makovski, Michèle Seghers, Jean-Luc Godard"
Madras Cafe,"Shubhendu Bhattacharya, Juhi Chaturvedi, Somnath Dey","Raashi Khanna, John Abraham, Nargis Fakhri, Prakash Belawadi, Gaurav K. Sharma, Manoj Bakshi, Vishnu Govindhan, Kannan Arunachalam, Avijit Dutt, Aayam Mehta, Dibang, Leena Maria Paul, Sanjay Gurbaxani, Malini Sathappan, Tarun Bali, Sudhanva Deshpande, Siddartha Basu, Dinesh Prabhakar"
Laurence Anyways,Xavier Dolan,"Melvil Poupaud, Emmanuel Schwartz, Suzanne Clément, Nathalie Baye, Monia Chokri, Susan Almgren, Yves Jacques, Sophie Faucher, Magalie Lépine Blondeau, Catherine Bégin, Jacques Lavallée, Perrette Souplex, Patricia Tulasne, David Savard, Monique Spaziani, Denise Filiatrault, Violette Chauveau, Mylène Jampanoï"
Sanam Teri Kasam,"Radhika Rao, Vinay Sapru","Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murli Sharma, Manish Chaudhari, Anurag Sinha, Sudesh Berry, Pyumori Mehta, Shraddha Das, Rushad Rana, Pawan Singh, Alok Pandey, Divyetta Kaveri, Sunil Dutt, Ashoka, Kareem Hajee, Ripu Daman Singh, Kunal Punjwani"
My Way,"Kang Je-kyu, Justin Byung-in Kim, Na-hyun Kim","Jang Dong-gun, Joe Odagiri, Bingbing Fan, Kim In-kwon, Kim Hee-won, Oh Tae-kyung, Kwak Jung-Wook, Shi-hoo Kim, Chun Ho-jin, Hui-Won Yun, Tarô Yamamoto, Manabu Hamada, Shingo Tsurumi, Isao Natsuyagi, Shirô Sano, Kumi Nakamura, Kim Soo-ro, Lee Yeon-hee"
"Play It Again, Sam",Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Jerry Lacy, Susan Anspach, Jennifer Salt, Joy Bang, Viva, Susanne Zenor, Diana Davila, Mari Fletcher, Michael Greene, Ted Markland, Tom Bullock, Mark Goddard, Martin Millard, Bill Riddle, Erick Vinther"
Bakemono no ko,Mamoru Hosoda,"Kôji Yakusho, Aoi Miyazaki, Shôta Sometani, Suzu Hirose, Kazuhiro Yamaji, Mamoru Miyano, Kappei Yamaguchi, Haru Kuroki, Momoka Ôno, Sumire Morohoshi, Keishi Nagatsuka, Kumiko Asô, Masahiko Tsugawa, Tadashi Nakamura, Baku Numata, Reiko Kusamura, Shinsuke Chikaishi, Narumi Akizuki"
Buena Vista Social Club,"Wim Wenders, Nick Gold","Compay Segundo, Ibrahim Ferrer, Rubén González, Octavio Calderon, Joachim Cooder, Ry Cooder, Angel Terry Domech, Ibrahim Ferrer Jr., Manuel Galbán, Hugo Garzón, Carlos Gonzalez, Juan de Marcos González, Pío Leyva, Manuel 'Puntillita' Licea, Orlando 'Cachaíto' López, Manuel 'Guajiro' Mirabal, Eliades Ochoa, Gilberto 'Papi' Oviedo"
Where the Sidewalk Ends,"Ben Hecht, Victor Trivas, Frank P. Rosenberg","Dana Andrews, Gene Tierney, Gary Merrill, Bert Freed, Tom Tully, Karl Malden, Ruth Donnelly, Craig Stevens, Fred Aldrich, Don Appell, Tony Barr, David Bauer, Eddie Borden, Neville Brand, Barry Brooks, Ralph Brooks, Oleg Cassini, John Close"
Superman II: The Richard Donner Cut,"Joe Shuster, Jerry Siegel, Mario Puzo","Gene Hackman, Christopher Reeve, Marlon Brando, Ned Beatty, Jackie Cooper, Sarah Douglas, Margot Kidder, Jack O'Halloran, Valerie Perrine, Clifton James, E.G. Marshall, Marc McClure, Terence Stamp, John Ratzenberger, Shane Rimmer, John Morton, Jim Dowdall, Angus MacInnes"
Le bonheur,Agnès Varda,"Jean-Claude Drouot, Claire Drouot, Olivier Drouot, Sandrine Drouot, Marie-France Boyer, Marcelle Faure-Bertin, Manon Lanclos, Sylvia Saurel, Marc Eyraud, Christian Riehl, Paul Vecchiali, Yvonne Dany"
And Then We Danced,Levan Akin,"Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili, Kakha Gogidze, Ana Makharadze, Nino Gabisonia, Levan Gabrava, Dachi Babunashvili, Saba Abashidze, Giorgi Aladashvili, Soso Abramishvili, Salome Nadaraia, Tsitsino Kobiahsvili, Zaira Tabatadze, Eka Mzhavanadze, Tamar Bukhnikashvili, Marika Gogichaishvili, Giorgi Tsereteli"
Control,"Nimród Antal, Jim Adler","Sándor Csányi, Eszter Balla, Zoltán Mucsi, Csaba Pindroch, Sándor Badár, Zsolt Nagy, Lajos Kovács, Bence Mátyássy, Gyözö Szabó, Péter Scherer, György Cserhalmi, László Nádasi, János Kulka, Enikõ Eszenyi, Zsolt László, Balázs Mihályfi, Károly Horváth, László Bicskei Kiss"
Xi yan,"Ang Lee, Neil Peng, James Schamus","Winston Chao, May Chin, Ah-Lei Gua, Sihung Lung, Mitchell Lichtenstein, Dion Birney, Jeanne Kuo Chang, Paul Chen, Chung-Wei Chou, Yun Chung, Ho-Mean Fu, Michael Gaston, Jeffrey Howard, Theresa Hou, Yung-Teh Hsu, Jean Hu, Albert Huang, Neal Huff"
A Thursday,"Behzad Khambata, Ashley Lobo, Vijay Maurya","Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia, Kalyanee Mulay, Karanvir Sharma, Maya Sarao, Boloram Das, Sukesh Anand, Adi Irani, Shubhangi Latkar, Divjyot Kaur, Micky Makhija, Sanjeev Jogtiyani, Sulagna Chatterjee, Bhavin K Hirani, Asim Sharma, Shailendra Gaur"
Campanadas a medianoche,"William Shakespeare, Raphael Holinshed, Orson Welles","Orson Welles, Jeanne Moreau, Margaret Rutherford, John Gielgud, Marina Vlady, Walter Chiari, Michael Aldridge, Julio Peña, Tony Beckley, Andrés Mejuto, Keith Pyott, Jeremy Rowe, Alan Webb, Fernando Rey, Keith Baxter, Norman Rodway, José Nieto, Andrew Faulds"
Il vangelo secondo Matteo,Pier Paolo Pasolini,"Enrique Irazoqui, Margherita Caruso, Susanna Pasolini, Marcello Morante, Mario Socrate, Settimio Di Porto, Alfonso Gatto, Luigi Barbini, Giacomo Morante, Giorgio Agamben, Guido Cerretani, Rosario Migale, Ferruccio Nuzzo, Marcello Galdini, Elio Spaziani, Enzo Siciliano, Otello Sestili, Juan Rodolfo Wilcock"
Gonzo: The Life and Work of Dr. Hunter S. Thompson,"Alex Gibney, Hunter S. Thompson","Hunter S. Thompson, Johnny Depp, Joe Cairo, David Carlo, Victor Ortiz, Gilleon Smith, Alex Ziwak, Melissa Otero, Pierre Adeli, Angela Berliner, Eugenia Care, Brian Kimmet, Oscar Acosta, Muhammad Ali, Sonny Barger, Warren Beatty, Bob Braudis, Douglas Brinkley"
The More the Merrier,"Robert Russell, Frank Ross, Richard Flournoy","Jean Arthur, Joel McCrea, Charles Coburn, Richard Gaines, Bruce Bennett, Frank Sully, Donald Douglas, Clyde Fillmore, Stanley Clements, David Alison, Sam Ash, Don Barclay, Brandon Beach, Betzi Beaton, Hank Bell, Edward Biby, Gladys Blake, Lulu Mae Bohrman"
Lovers of the Arctic Circle,Julio Medem,"Najwa Nimri, Fele Martínez, Nancho Novo, Maru Valdivielso, Peru Medem, Sara Valiente, Víctor Hugo Oliveira, Kristel Díaz, Pep Munné, Jaroslaw Bielski, Rosa Morales, Joost Siedhoff, Beate Jensen, Petri Heino, Outi Alanen, María Isasi, Ángela Castilla, Luz Nicolás"
Bob le flambeur,"Jean-Pierre Melville, Auguste Le Breton","Roger Duchesne, Isabelle Corey, Daniel Cauchy, Guy Decomble, André Garet, Gérard Buhr, Claude Cerval, Colette Fleury, René Havard, Simone Paris, Howard Vernon, Henry Allaume, Germaine Licht, Yvette Amirante, Dominique Antoine, Jannick Arvel, Annick Bertrand, Duilio Carmine"
Let It Be,"John Lennon, Paul McCartney, George Harrison","John Lennon, Paul McCartney, George Harrison, Ringo Starr, Sue Ahearne, The Beatles, Peter Brown, Peter Craddock, Ray Dagg, Geoff Emerick, Mal Evans, Kevin Harrington, David Kendrick, Eileen Kensley, Michael Lindsay-Hogg, George Martin, Heather McCartney, Linda McCartney"
Road to Ninja: Naruto the Movie,"Masashi Kishimoto, Yuka Miyata, Junki Takegami","Junko Takeuchi, Chie Nakamura, Toshiyuki Morikawa, Emi Shinohara, Kazue Ikura, Yasunori Matsumoto, Kazuhiko Inoue, Masashi Ebara, Toshihiko Seki, Noriaki Sugiyama, Satoshi Hino, Shôtarô Morikubo, Kentarô Itô, Ryôka Yuzuki, Kôsuke Toriumi, Nana Mizuki, Shinji Kawada, Yôichi Masukawa"
Darr,"Honey Irani, Javed Siddiqui","Sunny Deol, Juhi Chawla, Shah Rukh Khan, Anupam Kher, Tanvi Azmi, Raj Hans, Annu Kapoor, Neena Softa, Piloo J. Wadia, Vikas Anand, Dalip Tahil, Raj Nanvag, Kedarnath Saigal"
Bitter Rice,"Giuseppe De Santis, Carlo Lizzani, Gianni Puccini","Vittorio Gassman, Doris Dowling, Silvana Mangano, Raf Vallone, Checco Rissone, Nico Pepe, Adriana Sivieri, Lia Corelli, Maria Grazia Francia, Dedi Ristori, Anna Maestri, Mariemma Bardi, Maria Capuzzo, Isabella Marincola, Carlo Mazzarella, Ermanno Randi, Antonio Nediani, Mariano Englen"
Hungama,"Priyadarshan, Neeraj Vora, Jay Master","Akshaye Khanna, Aftab Shivdasani, Rimi Sen, Paresh Rawal, Shoma Anand, Shakti Kapoor, Rajpal Naurang Yadav, Tiku Talsania, Upasana Singh, Sanjay Narvekar, Amit Divatia, Neena Kulkarni, Manoj Joshi, Jagadish, Jyoti Joshi, Amin Gazi, Razak Khan, Anu Ansari"
12,"Nikita Mikhalkov, Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko","Sergey Makovetskiy, Sergey Garmash, Apti Magamaev, Nikita Mikhalkov, Valentin Gaft, Aleksey Petrenko, Yuriy Stoyanov, Sergey Gazarov, Mikhail Efremov, Aleksey Gorbunov, Sergey Artsibashev, Viktor Verzhbitskiy, Roman Madyanov, Aleksandr Adabashyan, Abdi Magamaev, Natalya Surkova, Konstantin Glushkov, Vladimir Nefyodov"
Cha no aji,Katsuhito Ishii,"Maya Banno, Takahiro Satô, Tadanobu Asano, Satomi Tezuka, Tatsuya Gashûin, Tomoko Nakajima, Ikki Todoroki, Tomokazu Miura, Anna Tsuchiya, Saki Aibu, Hideaki Anno, Keisuke Horibe, Ryô Kase, Rinko Kikuchi, Kirin Kin, Tsuyoshi Kusanagi, Ken'ichi Matsuyama, Shunichirô Miki"
Pina,Wim Wenders,"Pina Bausch, Regina Advento, Malou Airaudo, Ruth Amarante, Jorge Puerta, Rainer Behr, Andrey Berezin, Damiano Ottavio Bigi, Bénédicte Billiet, Ales Cucek, Clementine Deluy, Josephine Ann Endicott, Lutz Förster, Pablo Aran Gimeno, Mechthild Großmann, Silvia Farias Heredía, Barbara Kaufmann, Na Young Kim"
Caged,"Virginia Kellogg, Bernard C. Schoenfeld","Eleanor Parker, Agnes Moorehead, Ellen Corby, Hope Emerson, Betty Garde, Jan Sterling, Lee Patrick, Olive Deering, Jane Darwell, Gertrude Michael, Sheila MacRae, Gertrude Astor, George Baxter, Guy Beach, Don Beddoe, Gail Bonney, Lovyss Bradley, Ralph Brooks"
Peppermint Candy,Lee Chang-dong,"Sul Kyung-gu, Kim Yeo-jin, Moon So-ri, Se-beom Park, Jung Suh, Ko Seo-hie, Park Ji-yeon, Lee Dae-yeon, Kim Kyeong-ik, Jeong Woo-hyeok, Kim In-kwon, Bae Jang-soo, Yu Yeon-su"
Accattone,"Pier Paolo Pasolini, Sergio Citti","Franco Citti, Franca Pasut, Silvana Corsini, Paola Guidi, Adriana Asti, Luciano Conti, Luciano Gonini, Renato Capogna, Alfredo Leggi, Galeazzo Riccardi, Leonardo Muraglia, Giuseppe Ristagno, Roberto Giovannoni, Mario Cipriani, Roberto Scaringella, Silvio Citti, Giovanni Orgitano, Piero Morgia"
Fox and His Friends,"Rainer Werner Fassbinder, Christian Hohoff","Rainer Werner Fassbinder, Peter Chatel, Karlheinz Böhm, Adrian Hoven, Christiane Maybach, Harry Baer, Hans Zander, Kurt Raab, Rudolf Lenz, Karl Scheydt, Peter Kern, Karl-Heinz Staudenmeyer, Walter Sedlmayr, Bruce Low, Marquard Bohm, Brigitte Mira, Evelyn Künneke, Barbara Valentin"
The Song of Bernadette,"George Seaton, Franz Werfel, Jacques Monteux","Jennifer Jones, Charles Bickford, William Eythe, Vincent Price, Lee J. Cobb, Gladys Cooper, Anne Revere, Roman Bohnen, Mary Anderson, Patricia Morison, Aubrey Mather, Charles Dingle, Edith Barrett, Sig Ruman, Blanche Yurka, Ermadean Walters, Marcel Dalio, Pedro de Cordoba"
Longtime Companion,Craig Lucas,"Stephen Caffrey, Patrick Cassidy, Brian Cousins, Bruce Davison, Campbell Scott, John Dossett, Mary-Louise Parker, Tanya Berezin, Welker White, Michael Piontek, Joyce Reehling, Mark Lamos, Dermot Mulroney, Michael Schoeffling, Marceline Hugot, Margo Skinner, Eric Gutierrez, Brad O'Hare"
Pickpocket,Robert Bresson,"Martin LaSalle, Marika Green, Jean Pélégri, Dolly Scal, Pierre Leymarie, Kassagi, Pierre Étaix, César Gattegno, Sophie Saint-Just, Dominique Zardi"
O Lucky Man!,"David Sherwin, Malcolm McDowell","Malcolm McDowell, Ralph Richardson, Rachel Roberts, Arthur Lowe, Helen Mirren, Graham Crowden, Peter Jeffrey, Dandy Nichols, Mona Washbourne, Philip Stone, Mary MacLeod, Michael Bangerter, Wallas Eaton, Warren Clarke, Bill Owen, Michael Medwin, Vivian Pickles, Geoffrey Palmer"
The Pride of the Yankees,"Jo Swerling, Herman J. Mankiewicz, Paul Gallico","Gary Cooper, Teresa Wright, Babe Ruth, Walter Brennan, Dan Duryea, Elsa Janssen, Ludwig Stössel, Virginia Gilmore, Bill Dickey, Ernie Adams, Pierre Watkin, Harry Harvey, Bob Meusel, Mark Koenig, Bill Stern, Addison Richards, Hardie Albright, Edward Fielding"
Yankee Doodle Dandy,"Robert Buckner, Edmund Joseph, Julius J. Epstein","James Cagney, Joan Leslie, Walter Huston, Richard Whorf, Irene Manning, George Tobias, Rosemary DeCamp, Jeanne Cagney, Frances Langford, George Barbier, S.Z. Sakall, Walter Catlett, Douglas Croft, Eddie Foy Jr., Minor Watson, Chester Clute, Odette Myrtil, Patsy Parsons"
The Snake Pit,"Frank Partos, Millen Brand, Mary Jane Ward","Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm, Glenn Langan, Helen Craig, Leif Erickson, Beulah Bondi, Lee Patrick, Howard Freeman, Natalie Schafer, Ruth Donnelly, Katherine Locke, Frank Conroy, Minna Gombell, June Storey, Lora Lee Michel, Damian O'Flynn"
Gulmohar,"Rahul V. Chittella, Arpita Mukherjee","Sharmila Tagore, Manoj Bajpayee, Simran, Suraj Sharma, Amol Palekar, Kaveri Seth, Utsavi Jha, Danish Sood, Anurag Arora, Devika Shahani, Sriharsh Sharma, Santhy Balachandran, Jatin Goswami, Chandan Roy, Gandharv Dewan, Talat Aziz, Vinod Nagpal, Tanvi Rao"
Love Streams,"Ted Allan, John Cassavetes","Gena Rowlands, John Cassavetes, Diahnne Abbott, Seymour Cassel, Margaret Abbott, Jakob Shaw, Michele Conaway, Eddy Donno, Joan Foley, Al Ruban, Tom Badal, Risa Blewitt, David Rowlands, Robert Fieldsteel, Raphael De Niro, Tony Brubaker, John Roselius, Jessica St. John"
Il grido,"Michelangelo Antonioni, Elio Bartolini, Ennio De Concini","Gabriella Pallotta, Steve Cochran, Alida Valli, Dorian Gray, Jacqueline Jones, Pina Boldrini, Guerrino Campanilli, Mirna Girardi, Lilia Landi, Gaetano Matteucci, Betsy Blair, Pietro Corvelatti, Elli Parvo"
Ju Dou,Heng Liu,"Gong Li, Wei Li, Baotian Li, Zhang Yi, Ji-an Zheng, Ma Chong, Zhijun Cong, Wu Fa, Zhaoji Jia, Jia Jin, Xingli Niu, Qianbin Yang"
Aile Arasinda,Gülse Birsel,"Engin Günaydin, Demet Evgar, Erdal Özyagcilar, Devrim Yakut, Fatih Artman, Sevket Çoruh, Gülse Birsel, Derya Karadas, Su Kutlu, Ayta Sözeri, Devin Özgür Çinar, Deniz Sen Hamzaoglu, Riza Akin, Arif Erkin Güzelbeyoglu, Erdal Cindoruk, Ünal Yeter, Samil Berk, Ali Gökçe"
Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta,"Akira Toriyama, Takao Koyama","Masako Nozawa, Ryô Horikawa, Takeshi Kusao, Daisuke Gôri, Hiromi Tsuru, Naoko Watanabe, Yûko Minaguchi, Hikaru Midorikawa, Jôji Yanami, Toku Nishio, Bin Shimada, Keiko Yamamoto, Ryûji Saikachi, Tesshô Genda, Ryûsei Nakao, Masahiro Anzai, Hideyuki Miyao, Atsushi Kisaichi"
The Endless Summer,Bruce Brown,"Robert August, Michael Hynson, Lord James Blears, Bruce Brown, Terence Bullen, Lance Carson, Roy Crump, Chip Fitzwater, Chuck Gardner, Fred Hemmings, Wayne Miyata, Steven R. Davis, Mickey Dora, Phil Edwards, Greg Noll, Dave Thynell, Butch Van Artsdalen"
Mortal world,"Ali Atay, Ali Demirel, Aziz Kedi","Ahmet Mümtaz Taylan, Alper Kul, Sarp Apak, Irem Sak, Dogu Demirkol, Feyyaz Yigit, Meltem Kaptan, Özgür Emre Yildirim, Mehmet Özgür, Osman Alkas, Gümeç Alpay Aslan, Ender Gözü, Günes Hayat, Ferit Kaya, Mustafa Kirantepe, Ibrahim Selim, Kubilay Tunçer, Kaan Yabas"
Kannur Squad,"Rony David, Muhammed Shafi","Mammootty, Kishore Kumar G., Vijayaraghavan, Rony David, Azees Nedumangad, Shabareesh Varma, Arjun Radhakrishnan, Sunny Wayne, Sarath Sabha, Shebin Benson, Mullai Arasi, Seju K. Eapen, Shine Tom Chacko, Sivadas Kannur, Anoop Trivedi, S.P. Sreekumar, Afsana Lekshmi, Sajin Cherukayil"
After the Thin Man,"Frances Goodrich, Albert Hackett, Dashiell Hammett","William Powell, Myrna Loy, James Stewart, Elissa Landi, Joseph Calleia, Jessie Ralph, Alan Marshal, Teddy Hart, Sam Levene, Penny Singleton, William Law, George Zucco, Paul Fix, Asta, Mrs. Asta, Jack Adair, Eadie Adams, Ernie Alexander"
Ponniyin Selvan,"Mani Ratnam, Jayamohan, Kumaravel","Vikram, Aishwarya Rai Bachchan, Trisha Krishnan, Karthi, Jayam Ravi, Prabhu, R. Sarathkumar, Sobhita Dhulipala, Aishwarya Lekshmi, Vikram Prabhu, Prakash Raj, Jayaram, Jayachitra, Rahman, Ashwin Kakumanu, Lal, Kishore Kumar G., Babu Antony"
The Last: Naruto the Movie,"Maruo Kyôzuka, Masashi Kishimoto, Seth Walther","Junko Takeuchi, Nana Mizuki, Jun Fukuyama, Chie Nakamura, Shôtarô Morikubo, Satoshi Hino, Akira Ishida, Hideaki Tezuka, Yurika Hino, Tomomichi Nishimura, Hisao Egawa, Masako Katsuki, Ikue Ôtani, Keiko Nemoto, Masashi Ebara, Toshihiko Seki, Kentarô Itô, Ryôka Yuzuki"
Le rayon vert,"Marie Rivière, Éric Rohmer","Marie Rivière, María Luisa García, Vincent Gauthier, Amira Chemakhi, Sylvie Richez, Basile Gervaise, Virginie Gervaise, René Hernandez, Dominique Rivière, Claude Jullien, Alaric Jullien, Laetitia Riviere, Isabelle Rivière, Béatrice Romand, Rosette, Marcello Pezzutto, Irène Skobline, Eric Hamm"
Agneepath,"H. Banerjee, Kader Khan, Santosh Saroj","Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari, Danny Denzongpa, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh, Manjunath Nayaker, Sharat Saxena, Goga Kapoor, Monty Sharma, Avtar Gill, Arvind Rathod, Pradeep Singh Rawat, Shammi"
Ostre sledované vlaky,"Bohumil Hrabal, Jirí Menzel","Václav Neckár, Josef Somr, Vlastimil Brodský, Vladimír Valenta, Alois Vachek, Ferdinand Kruta, Jitka Scoffin, Jitka Zelenohorská, Nada Urbánková, Libuse Havelková, Kveta Fialová, Pavla Marsálková, Milada Jezková, Zuzana Minichova, Václav Fiser, Karel Hovorka, Jirí Kodet, Frantisek Husák"
Yangguang puzhao,"Yaosheng Chang, Mong-Hong Chung","Chien-Ho Wu, Yi-Wen Chen, Samantha Shu-Chin Ko, Kuan-Ting Liu, Greg Han Hsu, Apple Wu, Ivy Yin, Chen-Ling Wen, Chih-Ju Lin, Shao-Hua Lung, Li-Tung Chang, Danny Deng, Ming-Shuai Shih, Han Chang, Shao-Huai Chang, Hui-Jen Liao, Kun-Cheng Li, Nan-Chung Cheng"
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Jim Carrey, Danny DeVito, Milos Forman","Jim Carrey, Danny DeVito, Milos Forman, Peter Bonerz, Paul Giamatti, Ron Meyer, George Shapiro, Judd Hirsch, Carol Kane, Dotan Bonen, Michael Hausman, Bill Corso, Linda Fields Hill, Stacey Sher, Angela Jones, Krystina Carson, Elton John, Bob Zmuda"
Yoidore tenshi,"Keinosuke Uekusa, Akira Kurosawa","Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto, Michiyo Kogure, Chieko Nakakita, Noriko Sengoku, Shizuko Kasagi, Eitarô Shindô, Masao Shimizu, Taiji Tonoyama, Yoshiko Kuga, Chôko Iida, Kô Ubukata, Akira Tani, Sachio Sakai, Senkichi Ômura, Tateo Kawasaki, Mayuri Mokushô"
Ludo,"Anurag Basu, Samrat Chakraborty","Rajkummar Rao, Abhishek Bachchan, Heather Bambrick, Aditya Roy Kapoor, Addison Holley, Sanya Malhotra, Pankaj Tripathi, Anurag Basu, Rohit Saraf, Fatima Sana Shaikh, Asha Negi, Ted Dykstra, Inayat Verma, Geetanjali Mishra, Apurva Singh, Pearle Maaney, Paritosh Tripathi, Jacob Ewaniuk"
The Sea Hawk,"Howard Koch, Seton I. Miller","Errol Flynn, Brenda Marshall, Claude Rains, Donald Crisp, Flora Robson, Alan Hale, Henry Daniell, Una O'Connor, James Stephenson, Gilbert Roland, William Lundigan, Julien Mitchell, Montagu Love, J.M. Kerrigan, David Bruce, Clifford Brooke, Clyde Cook, Fritz Leiber"
The Sky Is Pink,"Shonali Bose, Juhi Chaturvedi, Nilesh Maniyar","Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim, Rohit Saraf, Manas Mittal, Rajshri Deshpande, Lushin Dubey, Sunil Chitkara, Nirupama Verma, Puja Sarup, Jayesh Patil, Gurpal Singh, Sheena Khalid, Ishan Jotshi, Sudhanva Deshpande, Manisha Chudasama, Paras Rattan Sharda, Salmin Sheriff"
HIT,"Sailesh Kolanu, Surbhi Sehgal","Vishwak Sen, Ruhani Sharma, Murli Sharma, Bhanuchander, Brahmaji, Chaitanya Sagiraju, Naveena Reddy, Ravi Raja, Sahithi, Raviraj, Maganti Srinath, Hari Teja, Ravi Varma, Rangadham, Roopa Laxmi, Rajeshwari, Kalpika Ganesh, Kalpalatha"
Karwaan,"Bejoy Nambiar, Akarsh Khurana, Adhir Bhat","Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni, Akash Khurana, Kriti Kharbanda, Donna Munshi, Abir Abrar, Beena Banerjee, Siddharth Menon, Adrika Shetty, Sameer Saxena, Kallirroi Tziafeta, Richard John Lovatt, Nipun Dharmadhikari, Adhaar Khurana, Sarang Sathaye, Shubhrajyoti Barat"
Ghajini,"A.R. Murugadoss, Shashank","Suriya, Asin Thottumkal, Nayanthara, Pradeep Singh Rawat, Riyaz Khan, Manobala, Sathyan, Ramanathan, Venba"
The Inquisitor,"John Wainwright, Claude Miller, Jean Herman","Lino Ventura, Michel Serrault, Romy Schneider, Guy Marchand, Didier Agostini, Patrick Depeyrrat, Pierre Maguelon, Serge Malik, Annie Miller, Jean-Claude Penchenat, Yves Pignot, Mathieu Schiffman, Michel Such, Elsa Lunghini, Mohammed Bekireche, Claude Carliez"
The Fallen Idol,"Graham Greene, Lesley Storm, William Templeton","Ralph Richardson, Michèle Morgan, Sonia Dresdel, Bobby Henrey, Denis O'Dea, Jack Hawkins, Walter Fitzgerald, Dandy Nichols, Joan Young, Karel Stepanek, Gerard Heinz, Torin Thatcher, James Hayter, Geoffrey Keen, Bernard Lee, John Ruddock, Hay Petrie, Dora Bryan"
L'Insult,"Ziad Doueiri, Joelle Touma","Adel Karam, Kamel El Basha, Camille Salameh, Diamand Abou Abboud, Rita Hayek, Talal Jurdi, Christine Choueiri, Julia Kassar, Rifaat Torbey, Carlos Chahine, Walid Abboud, Georges Daoud, Elie Njeim, Sami Hamdan, Tony Mehanna, Abido Bacha, Nabil Koni, Mohamed A. Jaroudi"
