title,genre,popularity
Akira,"Animation,Science Fiction,Action",43.652
Amarcord,"Comedy,Drama",16.436
Catch Me If You Can,"Drama,Crime",45.878
12 Years a Slave,"Drama,History",44.917
La Maison en Petits Cubes,Animation,11.186
The Postman,"Comedy,Drama,Romance",9.32
The Great Escape,"Adventure,Drama,History,Thriller,War",19.927
Close to the Horizon,"Drama,Romance",22.815
Us Again,"Animation,Romance,Drama",7.785
Flipped,"Romance,Drama",38.408
Invisible Life,Drama,7.79
Dallas Buyers Club,"Drama,History",14.59
The Black Phone,"Horror,Thriller",5278.336
The Boy Who Harnessed the Wind,"Drama,History,Family",33.713
The Sixth Sense,"Mystery,Thriller,Drama",43.102
Just Mercy,"Drama,Crime,History",15.744
Tel chi el telùn,Comedy,4.366
Up,"Animation,Comedy,Family,Adventure",117.052
Teen Titans Go! vs. Teen Titans,"Action,Animation",33.578
Charm City Kings,Drama,21.532
The Greatest Showman,Drama,30.112
Ghost in the Shell,"Action,Animation,Science Fiction",31.37
Mr. Smith Goes to Washington,"Comedy,Drama",11.042
Rebecca,"Mystery,Drama,Thriller,Romance",14.854
Vincent,"Animation,Fantasy",8.369
Unforgiven,Western,20.664
The Breadwinner,"Animation,War,Drama",13.942
La Grande Vadrouille,"Comedy,War",20.29
Young Frankenstein,Comedy,14.001
Luca,"Animation,Comedy,Family,Fantasy",341.705
Captain Fantastic,"Adventure,Drama",48.913
Freedom Writers,"Crime,Drama",26.723
Inside Out,"Animation,Family,Adventure,Drama,Comedy",106.458
Ordet,Drama,6.807
Ace in the Hole,Drama,7.672
Two Women,"Drama,War",7.185
Persepolis,"Animation,Drama",10.692
Braveheart,"Action,Drama,History,War",38.892
Blade Runner,"Science Fiction,Drama,Thriller",40.476
Cousins,"Comedy,Romance,Drama",12.64
Mulan,"Animation,Family,Adventure",138.822
No Country for Old Men,"Crime,Drama,Thriller",35.532
La Jetée,"Romance,Science Fiction",10.496
My Little Pony: A New Generation,"Animation,Family,Fantasy,Comedy,Music,Adventure",90.393
Chinatown,"Crime,Drama,Mystery,Thriller",18.292
Jurassic Park,"Adventure,Science Fiction",66.065
A Separation,Drama,10.258
Nausicaä of the Valley of the Wind,"Adventure,Animation,Fantasy",28.385
Raiders of the Lost Ark,"Adventure,Action",39.769
To Live,"Drama,Romance,War",10.442
Faust,"Drama,Fantasy,Horror",7.325
Whisper of the Heart,"Animation,Drama,Family",44.337
Ne Zha,"Animation,Fantasy,Adventure",23.083
Little Women,"Drama,Romance",43.437
The Iron Giant,"Family,Animation,Adventure,Science Fiction,Comedy",82.321
In the Name of the Father,Drama,14.667
Harry Potter and the Philosopher's Stone,"Adventure,Fantasy",287.011
Justice League: The Flashpoint Paradox,"Science Fiction,Animation,Action,Adventure",32.533
Mamma Roma,Drama,7.734
Z,"Drama,History,Thriller",10.477
Aliens,"Action,Thriller,Science Fiction",76.725
Sunrise: A Song of Two Humans,"Drama,Romance",8.53
Louis C.K.: Hilarious,Comedy,5.554
1900,"Drama,History",12.417
The Night of the Hunter,"Crime,Drama,Thriller",8.633
About Time,"Drama,Romance,Fantasy",35.697
To Be or Not to Be,"Comedy,War",9.583
