job_title,work_year,salary_in_usd,company_location,company_size
ML Engineer,2023,289076,US,M
AI Architect,2024,289000,US,L
Data Science,2024,288400,US,M
Data Science,2024,288400,US,M
Data Engineer,2023,288000,US,M
Machine Learning Engineer,2023,288000,US,M
Machine Learning Engineer,2023,288000,US,M
Data Science,2024,287800,US,M
Data Science,2024,287800,US,M
ML Engineer,2023,287700,US,L
Analytics Engineer,2024,287500,US,M
AI Engineer,2024,287500,US,M
Research Scientist,2023,287500,US,M
Data Scientist,2023,287500,US,M
Machine Learning Engineer,2023,287500,US,M
Machine Learning Engineer,2023,287500,AU,M
Machine Learning Engineer,2023,287500,AU,M
Data Science,2024,286500,US,M
Data Scientist,2024,286000,US,M
Data Engineer,2023,286000,US,M
Data Engineer,2023,286000,US,M
Data Scientist,2023,285800,US,M
Data Scientist,2023,285800,US,M
Data Scientist,2024,285670,US,M
Applied Scientist,2024,285200,US,M
AI Architect,2024,285000,US,M
Machine Learning Engineer,2023,285000,US,L
Data Scientist,2023,285000,US,M
Machine Learning Engineer,2023,285000,US,M
Data Engineer,2023,285000,US,M
Data Architect,2023,285000,US,M
Research Scientist,2023,285000,US,M
Data Scientist,2024,323295,CH,L
Machine Learning Engineer,2024,284400,US,M
Machine Learning Engineer,2024,284400,US,M
Data Engineer,2023,284310,US,M
Data Engineer,2023,284310,US,M
Machine Learning Engineer,2023,284310,US,M
Machine Learning Engineer,2023,284050,US,M
Machine Learning Engineer,2023,284000,US,M
Data Engineer,2023,284000,US,M
Data Engineer,2024,283800,US,M
Data Scientist,2024,283800,US,M
Data Scientist,2024,283800,US,M
Machine Learning Engineer,2024,283780,US,M
Machine Learning Engineer,2024,283780,US,M
Data Engineer,2024,283780,US,M
Machine Learning Engineer,2024,283780,US,M
Machine Learning Engineer,2024,283780,US,M
Machine Learning Engineer,2023,283780,US,M
Deep Learning Engineer,2023,283780,US,M
Data Engineer,2023,283780,US,M
Machine Learning Engineer,2023,283780,US,M
Data Engineer,2023,283780,US,M
Deep Learning Engineer,2023,283780,US,M
Machine Learning Engineer,2023,283780,US,M
Machine Learning Engineer,2023,283780,US,M
Data Architect,2024,283500,US,M
Machine Learning Engineer,2023,283200,US,M
Machine Learning Engineer,2023,283200,US,M
Machine Learning Engineer,2023,283200,US,M
Research Scientist,2023,283050,US,M
