job_title,salary,salary_currency
Machine Learning Engineer,296400,USD
Machine Learning Engineer,296400,USD
Data Scientist,296100,USD
Data Scientist,296100,USD
Machine Learning Engineer,295500,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Data Scientist,295490,USD
Research Engineer,295000,USD
Research Engineer,295000,USD
Data Engineer,295000,USD
Research Engineer,295000,USD
Research Engineer,295000,USD
Research Scientist,295000,USD
Research Engineer,295000,USD
Research Scientist,295000,USD
Research Engineer,295000,USD
Data Scientist,295000,USD
Data Scientist,294000,USD
Machine Learning Engineer,294000,USD
Research Scientist,293000,USD
Data Engineer,293000,USD
Research Engineer,293000,USD
Machine Learning Scientist,292200,USD
Machine Learning Scientist,292000,USD
Data Analyst,291900,USD
ML Engineer,291500,USD
Data Engineer,291500,USD
Data Engineer,291500,USD
Data Engineer,290300,USD
Research Scientist,290000,USD
Machine Learning Engineer,290000,USD
Machine Learning Engineer,290000,USD
Research Engineer,290000,USD
Applied Scientist,290000,USD
Head of Data,290000,USD
Data Scientist,290000,USD
ML Engineer,290000,USD
Head of Data,290000,USD
Data Engineer,290000,USD
Analytics Engineer,289800,USD
Analytics Engineer,289800,USD
Analytics Engineer,289800,USD
Analytics Engineer,289800,USD
Data Operations Engineer,289120,USD
Machine Learning Engineer,289076,USD
ML Engineer,289076,USD
AI Architect,289000,USD
Data Science,288400,USD
Data Science,288400,USD
Data Engineer,288000,USD
Machine Learning Engineer,288000,USD
Machine Learning Engineer,288000,USD
Data Science,287800,USD
Data Science,287800,USD
ML Engineer,287700,USD
Analytics Engineer,287500,USD
AI Engineer,287500,USD
Research Scientist,287500,USD
Data Scientist,287500,USD
Machine Learning Engineer,287500,USD
Machine Learning Engineer,287500,USD
Machine Learning Engineer,287500,USD
Data Science,286500,USD
Data Scientist,286000,USD
Data Engineer,286000,USD
Data Engineer,286000,USD
Data Scientist,285800,USD
Data Scientist,285800,USD
Data Scientist,285670,USD
Applied Scientist,285200,USD
AI Architect,285000,USD
Machine Learning Engineer,285000,USD
Data Scientist,285000,USD
Machine Learning Engineer,285000,USD
Data Engineer,285000,USD
Data Architect,285000,USD
Research Scientist,285000,USD
Data Scientist,284500,CHF
Machine Learning Engineer,284400,USD
Machine Learning Engineer,284400,USD
Data Engineer,284310,USD
Data Engineer,284310,USD
Machine Learning Engineer,284310,USD
Machine Learning Engineer,284050,USD
Machine Learning Engineer,284000,USD
Data Engineer,284000,USD
Data Engineer,283800,USD
Data Scientist,283800,USD
Data Scientist,283800,USD
Machine Learning Engineer,283780,USD
Machine Learning Engineer,283780,USD
Data Engineer,283780,USD
Machine Learning Engineer,283780,USD
Machine Learning Engineer,283780,USD
Machine Learning Engineer,283780,USD
Deep Learning Engineer,283780,USD
Data Engineer,283780,USD
Machine Learning Engineer,283780,USD
Data Engineer,283780,USD
Deep Learning Engineer,283780,USD
Machine Learning Engineer,283780,USD
Machine Learning Engineer,283780,USD
Data Architect,283500,USD
Machine Learning Engineer,283200,USD
Machine Learning Engineer,283200,USD
Machine Learning Engineer,283200,USD
Research Scientist,283050,USD
Data Scientist,283000,USD
Robotics Software Engineer,282000,USD
Data Engineer,282000,USD
Data Engineer,282000,USD
Data Engineer,282000,USD
Applied Scientist,281700,USD
Data Scientist,281000,USD
Data Scientist,281000,USD
Research Engineer,281000,USD
Data Scientist,281000,USD
Data Scientist,280889,USD
Data Scientist,280889,USD
Data Scientist,280830,USD
Machine Learning Engineer,280700,USD
Data Engineer,280600,USD
Data Engineer,280600,USD
Data Architect,280100,USD
Data Architect,280100,USD
Research Scientist,280000,USD
Prompt Engineer,280000,USD
Research Engineer,280000,USD
MLOps Engineer,280000,USD
Machine Learning Engineer,280000,USD
