index_code,expenditure_on _education_pct_gdp,mortality_rate_infant,gini_index,gdp_per_capita_ppp,inflation_consumer_prices,intentional_homicides,unemployment,gross_fixed_capital_formation,population_density,suicide_mortality_rate,tax_revenue,taxes_on_income_profits_capital,alcohol_consumption_per_capita,government_health_expenditure_pct_gdp,urban_population_pct_total,country,time,sex,rating
SVN-2018,4.93455982208252,1.9,24.6,38971.82411622207,1.7386086198818,0.427365849859729,5.126,19.333039790654663,102.99229256470868,17.8,18.520786854228813,12.109708820622272,,5.99481487,54.541,SVN,2018,TOT,509.0
IRL-2003,4.20493984222412,5.1,32.9,36284.92797691818,3.49048968029137,0.934649083475531,4.478,24.911072058199583,58.013078821309335,12.1,24.160739179045592,40.25844076124528,,5.51941919,59.925,IRL,2003,TOT,503.0
SWE-2003,6.79142999649048,3.2,25.3,31816.47009972515,1.92565534892391,0.948501236929304,5.555,21.645606093615395,21.99203514904145,14.4,26.894480629364857,10.714265945304447,,6.91412878,84.196,SWE,2003,GIRL,506.0
MEX-2009,5.18794012069702,17.0,,15443.201616930332,5.29735584228856,17.8325996517848,5.356,22.77438580877733,57.125660639419735,4.6,9.234604860644758,27.49034333718387,,2.86067653,77.52,MEX,2009,TOT,419.0
ISR-2018,6.06284999847412,2.9,38.6,40231.90525811143,0.794075660242718,1.37172864889576,3.917,23.138871302008223,410.48059149722735,5.4,22.69560492144567,31.59297984375885,,4.71212816,92.418,ISR,2018,GIRL,467.0
USA-2018,4.92889022827148,5.6,41.4,62823.30943819728,2.44258329692817,4.92984830231435,3.896,20.91814158376611,35.730096464358255,15.7,9.989242073567343,51.64235117810612,,8.53671169,82.256,USA,2018,GIRL,474.0
NZL-2015,5.70862293243408,4.6,,37479.68298001293,0.292704628136101,1.04561723002926,5.415,22.864807707370566,17.50560176218146,11.7,27.41783504347145,51.55513338097906,9.69342,6.93415546,86.341,NZL,2015,TOT,495.0
FIN-2012,7.14803981781006,2.3,27.1,40873.095332606616,2.80833622561574,1.64392918654967,7.689,23.077841392380503,17.815561551877323,17.0,20.13559692991837,14.72185334683198,,7.64987421,84.841,FIN,2012,TOT,519.0
GRC-2006,3.67875790596008,3.8,35.1,28547.296562333177,3.19594684144545,0.990447315721199,8.906,23.685874692685584,85.49543832428239,3.7,19.97920073723145,19.539072076117428,,5.08809328,74.827,GRC,2006,GIRL,457.0
EST-2006,5.85676240921021,5.1,33.7,19344.05182928484,4.43762042389213,,5.915,36.80028565259015,31.7718801604152,20.9,19.959274607504053,20.29190974605353,,3.56107664,68.607,EST,2006,GIRL,514.0
ISL-2003,7.24507999420166,2.7,26.8,32700.89215793821,2.05566329753742,,3.997,21.43241997080825,2.887990024937656,12.5,23.677082333855395,27.330529773607253,,7.9075551,92.789,ISL,2003,TOT,515.0
NOR-2015,7.52334976196289,2.2,27.5,60737.8868132779,2.17113665389527,0.462395983782617,4.296,23.689573421106687,14.207938482551718,12.5,22.088548816474948,22.248280483238407,6.82976,8.66388416,81.091,NOR,2015,TOT,502.0
BEL-2009,6.45809984207153,3.8,28.6,37749.90918977529,-0.0531456741253769,,7.908,22.784501409634466,356.555250990753,20.6,23.781462787266417,34.09460413894011,,7.87510586,97.603,BEL,2009,BOY,526.0
NLD-2003,5.0404200553894,4.8,,34151.35354429706,2.09199838997655,1.25251285391316,3.593,20.59944228856692,480.6072867298578,9.6,20.35373725161366,24.53016231974149,,6.34328508,80.341,NLD,2003,TOT,538.0
NZL-2009,6.50176286697388,5.2,,30679.03520077485,2.1156511055456,1.55709429007714,6.121,20.173231021013137,16.34043522843796,11.5,29.685513131281944,55.99073108950433,,7.4772172,86.22,NZL,2009,BOY,523.0
PRT-2015,4.88554000854492,3.0,35.5,29660.896067252623,0.48793862390472,0.96474480015818,12.447,15.517219303901946,113.07251958395555,13.2,22.788719105427333,25.2793192746128,10.53851,5.74543333,63.514,PRT,2015,TOT,492.0
SWE-2015,7.4439001083374,2.4,29.2,49103.13343387062,-0.0467847449832812,1.13713104983543,7.432,23.753435653812843,24.05826177288175,15.7,27.136841709952183,15.873863286204648,9.4453,9.07129955,86.553,SWE,2015,BOY,493.0
NZL-2012,6.16936111450195,5.0,,32988.60975976132,1.05991318445632,0.929645241707196,6.931,20.75737163718625,16.74110364209487,12.7,26.91006441705098,48.95021065521035,,7.57742262,86.161,NZL,2012,TOT,500.0
