"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"ZVeeqL5Y","Grimreaperjon","regular","STANDARD",0,"2024-04-13T09:31:03.429242Z","2024-04-13T09:36:15.400241Z","NATIVE","NWL23",3600,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"oPPqr7R6","Mkabane","regular","TIME",1,"2024-04-13T09:30:08.304947Z","2024-04-13T09:51:19.650690Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"HAtgqNGm","cheechako","regular","STANDARD",1,"2024-04-13T09:28:45.194248Z","2024-04-13T09:42:42.387132Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","CASUAL",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"F87rjUpW","phil-s","regular","STANDARD",0,"2024-04-13T09:27:46.924026Z","2024-04-13T09:44:11.992965Z","NATIVE","NWL23",1440,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"cMRozfjw","amoghies","regular","RESIGNED",1,"2024-04-13T09:22:53.691903Z","2024-04-13T09:35:20.277207Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"LXmCnp4w","BasicBot","regular","STANDARD",0,"2024-04-13T09:20:19.964473Z","2024-04-13T09:31:00.793734Z","NATIVE","NWL23",3600,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"fhT8AMqN","BasicBot","regular","STANDARD",0,"2024-04-13T09:18:20.071492Z","2024-04-13T09:30:02.069337Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"T34QuAsv","BasicBot","regular","STANDARD",1,"2024-04-13T09:14:12.960832Z","2024-04-13T09:22:47.142297Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"BkjUcQhB","BasicBot","regular","STANDARD",0,"2024-04-13T09:13:19.456873Z","2024-04-13T09:27:56.961841Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","CASUAL",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"35z2QvF7","BasicBot","regular","STANDARD",1,"2024-04-13T09:13:01.161589Z","2024-04-13T09:23:30.470114Z","NATIVE","CSW21",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"VhX4cjp5","BasicBot","regular","TIME",0,"2024-04-13T09:12:15.381036Z","2024-04-13T09:33:19.646485Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"6KDYvhWX","BasicBot","regular","STANDARD",0,"2024-04-13T09:11:00.780283Z","2024-04-13T09:27:41.772217Z","NATIVE","NWL23",1440,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"hpQ6VVJu","Aaditya198","regular","RESIGNED",1,"2024-04-13T09:06:34.951736Z","2024-04-13T09:11:48.386919Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
