title,genre,release_date
The Wolf of Wall Street,"Crime,Drama,Comedy",2013-12-25
Citizen Kane,"Mystery,Drama",1941-04-17
El mesero,Comedy,2021-07-15
Miracle in Cell No. 7,"Drama,Comedy",2013-01-23
The Deer Hunter,"Drama,War",1978-03-09
A Man Escaped,"Thriller,Drama,War,History",1956-11-11
Nobody Knows,Drama,2004-08-07
Amadeus,"History,Music,Drama",1984-09-19
The Boy and the Beast,"Animation,Fantasy,Action,Adventure,Drama",2015-07-11
No Manches Frida 2,Comedy,2019-03-15
Where Hands Touch,"War,Drama,Romance",2018-09-14
Autumn Sonata,Drama,1978-10-08
Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy",2004-05-31
The Thing,"Horror,Mystery,Science Fiction",1982-06-25
Bohemian Rhapsody,"Music,Drama,History",2018-10-24
On the Waterfront,"Crime,Drama",1954-06-22
The Imitation Game,"History,Drama,Thriller,War",2014-11-14
Like Stars on Earth,Drama,2007-12-21
Casino,"Crime,Drama",1995-11-22
Belle,"Animation,Drama,Science Fiction,Music",2021-07-16
The Mitchells vs. the Machines,"Animation,Adventure,Comedy",2021-04-22
Hachi: A Dog's Tale,"Drama,Family",2009-06-08
Pink Floyd: The Wall,"Music,Drama",1982-07-14
The Way He Looks,"Drama,Romance",2014-03-28
The Secret in Their Eyes,"Crime,Drama,Mystery",2009-08-13
Tae Guk Gi: The Brotherhood of War,"Action,Adventure,Drama,History,War",2004-02-05
Forgotten,"Thriller,Mystery,Drama,Horror,Crime",2017-11-29
Gone with the Wind,"Drama,War,Romance",1939-12-15
A Whisker Away,"Animation,Drama,Romance,Fantasy",2020-06-18
Paperman,"Animation,Family,Romance",2012-11-02
Gran Torino,Drama,2008-12-09
Barry Lyndon,"Drama,Romance,War",1975-11-26
La Notte,"Drama,Romance",1961-01-24
Ford v Ferrari,"Drama,Action,History",2019-11-13
Sanjuro,"Drama,Action,Comedy",1962-01-01
When Marnie Was There,"Animation,Drama",2014-07-19
North by Northwest,"Mystery,Thriller",1959-07-08
Dangal,"Drama,Action",2016-12-21
My Way,"Drama,Action,History,War",2011-12-21
Scooby-Doo! and the Curse of the 13th Ghost,"Comedy,Family,Animation,Adventure,Mystery",2019-02-05
Rope,"Crime,Drama,Thriller",1948-03-11
Raging Bull,"Drama,History",1980-11-14
The Third Man,"Thriller,Mystery",1949-08-31
Operation Y and Other Shurik's Adventures,Comedy,1965-08-16
The Exterminating Angel,"Comedy,Drama,Fantasy",1962-05-16
The Shop Around the Corner,"Comedy,Drama,Romance",1940-01-12
Castaway on the Moon,"Drama,Comedy,Romance",2009-05-14
Limelight,"Drama,Music,Romance",1952-10-23
Raya and the Last Dragon,"Animation,Family,Fantasy,Action,Adventure",2021-03-03
Inner Workings,"Animation,Family,Comedy",2016-11-23
Cries and Whispers,Drama,1972-12-21
"Remi, Nobody's Boy","Adventure,Family,Drama",2018-12-12
"Batman: The Dark Knight Returns, Part 2","Science Fiction,Action,Animation,Mystery",2013-01-03
Words on Bathroom Walls,"Drama,Romance",2020-08-21
Army of Shadows,"War,Drama,Thriller",1969-09-10
An Egg Rescue,"Animation,Comedy",2021-08-12
Bad Genius,"Comedy,Drama,Crime,Thriller",2017-05-03
3 Idiots,"Drama,Comedy",2009-12-23
Trainspotting,"Drama,Crime",1996-02-23
1917,"War,Drama,Action,Thriller,History",2019-12-25
Lawrence of Arabia,"War,History,Adventure,Drama",1962-12-11
It's Such a Beautiful Day,"Drama,Animation,Comedy",2012-08-24
Castle in the Sky,"Adventure,Fantasy,Animation,Action,Family,Romance",1986-08-02
Scooby-Doo! Camp Scare,"Animation,Comedy,Family,Mystery",2010-09-14
Divorce Italian Style,Comedy,1961-12-20
La Strada,Drama,1954-09-23
Kill Bill: Vol. 1,"Action,Crime",2003-10-10
Three Men and a Leg,Comedy,1997-12-27
A Trip to the Moon,"Adventure,Science Fiction",1902-04-17
Three Colors: Red,"Drama,Mystery,Romance",1994-05-12
Girl in the Basement,"Crime,Thriller",2021-02-27
What Ever Happened to Baby Jane?,"Drama,Horror,Thriller",1962-10-12
Raise the Red Lantern,Drama,1991-12-18
Toy Story,"Animation,Adventure,Family,Comedy",1995-10-30
The Battle of Algiers,"Drama,War,History",1966-09-08
Throne of Blood,"Drama,History",1957-01-15
Million Dollar Baby,Drama,2004-12-15
My Father's Violin,"Drama,Music",2022-01-21
Kill Bill: The Whole Bloody Affair,"Action,Crime,Thriller",2011-03-27
My Hero Academia: Two Heroes,"Animation,Action,Adventure,Fantasy",2018-08-03
The Cameraman,"Comedy,Romance,Drama,Family",1928-09-10
Before Sunrise,"Drama,Romance",1995-01-27
Children of Heaven,"Drama,Family",1997-08-01
Where Is My Friend's House?,"Drama,Family",1987-07-01
The Tomorrow War,"Action,Science Fiction,Adventure",2021-07-02
The Cabinet of Dr. Caligari,"Drama,Horror,Thriller,Crime",1920-02-27
Akira,"Animation,Science Fiction,Action",1988-07-16
Amarcord,"Comedy,Drama",1973-12-13
Catch Me If You Can,"Drama,Crime",2002-12-25
12 Years a Slave,"Drama,History",2013-10-18
La Maison en Petits Cubes,Animation,2008-06-10
The Postman,"Comedy,Drama,Romance",1994-04-07
The Great Escape,"Adventure,Drama,History,Thriller,War",1963-06-20
Close to the Horizon,"Drama,Romance",2019-10-10
Us Again,"Animation,Romance,Drama",2021-03-03
Flipped,"Romance,Drama",2010-08-06
Invisible Life,Drama,2019-08-30
Dallas Buyers Club,"Drama,History",2013-11-01
The Black Phone,"Horror,Thriller",2022-06-22
The Boy Who Harnessed the Wind,"Drama,History,Family",2019-02-14
The Sixth Sense,"Mystery,Thriller,Drama",1999-08-06
Just Mercy,"Drama,Crime,History",2019-12-25
Tel chi el telùn,Comedy,1999-05-12
Up,"Animation,Comedy,Family,Adventure",2009-05-28
Teen Titans Go! vs. Teen Titans,"Action,Animation",2019-07-21
Charm City Kings,Drama,2020-01-27
The Greatest Showman,Drama,2017-12-20
Ghost in the Shell,"Action,Animation,Science Fiction",1995-11-18
Mr. Smith Goes to Washington,"Comedy,Drama",1939-10-19
Rebecca,"Mystery,Drama,Thriller,Romance",1940-03-23
Vincent,"Animation,Fantasy",1982-10-01
Unforgiven,Western,1992-08-07
The Breadwinner,"Animation,War,Drama",2017-11-17
La Grande Vadrouille,"Comedy,War",1966-12-08
Young Frankenstein,Comedy,1974-12-15
Luca,"Animation,Comedy,Family,Fantasy",2021-06-17
Captain Fantastic,"Adventure,Drama",2016-07-08
Freedom Writers,"Crime,Drama",2007-01-05
Inside Out,"Animation,Family,Adventure,Drama,Comedy",2015-06-09
Ordet,Drama,1955-01-09
Ace in the Hole,Drama,1951-06-29
Two Women,"Drama,War",1960-12-22
Persepolis,"Animation,Drama",2007-06-27
Braveheart,"Action,Drama,History,War",1995-03-14
Blade Runner,"Science Fiction,Drama,Thriller",1982-06-25
Cousins,"Comedy,Romance,Drama",2019-12-10
Mulan,"Animation,Family,Adventure",1998-06-18
No Country for Old Men,"Crime,Drama,Thriller",2007-06-13
La Jetée,"Romance,Science Fiction",1962-02-16
My Little Pony: A New Generation,"Animation,Family,Fantasy,Comedy,Music,Adventure",2021-09-23
Chinatown,"Crime,Drama,Mystery,Thriller",1974-06-20
Jurassic Park,"Adventure,Science Fiction",1993-06-11
A Separation,Drama,2011-02-15
Nausicaä of the Valley of the Wind,"Adventure,Animation,Fantasy",1984-03-11
Raiders of the Lost Ark,"Adventure,Action",1981-06-12
To Live,"Drama,Romance,War",1994-05-26
Faust,"Drama,Fantasy,Horror",1926-10-13
Whisper of the Heart,"Animation,Drama,Family",1995-07-15
Ne Zha,"Animation,Fantasy,Adventure",2019-07-26
Little Women,"Drama,Romance",2019-12-25
The Iron Giant,"Family,Animation,Adventure,Science Fiction,Comedy",1999-08-06
In the Name of the Father,Drama,1993-12-12
Harry Potter and the Philosopher's Stone,"Adventure,Fantasy",2001-11-16
Justice League: The Flashpoint Paradox,"Science Fiction,Animation,Action,Adventure",2013-07-30
Mamma Roma,Drama,1962-09-22
Z,"Drama,History,Thriller",1969-02-26
